timestamp,datetime,open,high,low,close,volume,source
1787605200000,2026-08-24T21:00:00.000Z,96.536,96.975,96.536,96.884,3869.10791,bitstamp
1787606100000,2026-08-24T21:15:00.000Z,96.876,96.876,96.598,96.76,1770.70053,bitstamp
1787607000000,2026-08-24T21:30:00.000Z,96.844,96.952,96.768,96.908,397.5164,bitstamp
1787607900000,2026-08-24T21:45:00.000Z,96.881,97.558,96.857,97.502,5653.56083,bitstamp
1787608800000,2026-08-24T22:00:00.000Z,97.476,97.821,97.207,97.431,2587.69501,bitstamp
1787609700000,2026-08-24T22:15:00.000Z,97.431,97.674,97.377,97.484,1576.10189,bitstamp
1787610600000,2026-08-24T22:30:00.000Z,97.536,98.644,97.532,97.681,7431.85632,bitstamp
1787611500000,2026-08-24T22:45:00.000Z,97.662,97.962,97.35,97.432,3169.5217,bitstamp
1787612400000,2026-08-24T23:00:00.000Z,97.433,97.89,97.267,97.554,1977.16134,bitstamp
1787613300000,2026-08-24T23:15:00.000Z,97.593,98.457,97.51,98.219,1774.52195,bitstamp
1787614200000,2026-08-24T23:30:00.000Z,98.318,98.807,98.054,98.573,3437.10639,bitstamp
1787615100000,2026-08-24T23:45:00.000Z,98.533,98.961,98.226,98.961,8475.4519,bitstamp
1787616000000,2026-08-25T00:00:00.000Z,98.934,101.764,98.564,100.524,21081.75369,bitstamp
1787616900000,2026-08-25T00:15:00.000Z,100.524,100.525,99.416,99.697,8669.95879,bitstamp
1787617800000,2026-08-25T00:30:00.000Z,99.722,102.029,99.553,101.882,11730.91989,bitstamp
1787618700000,2026-08-25T00:45:00.000Z,101.844,102.765,101.377,101.699,6655.96895,bitstamp
1787619600000,2026-08-25T01:00:00.000Z,101.801,102.351,101.562,101.81,2681.17308,bitstamp
1787620500000,2026-08-25T01:15:00.000Z,101.748,102.5,101.454,102.082,5254.99299,bitstamp
1787621400000,2026-08-25T01:30:00.000Z,102.085,102.293,100.887,100.957,3793.83843,bitstamp
1787622300000,2026-08-25T01:45:00.000Z,100.933,101.274,100.111,100.459,5152.20578,bitstamp
1787623200000,2026-08-25T02:00:00.000Z,100.469,100.621,100.242,100.378,4830.35252,bitstamp
1787624100000,2026-08-25T02:15:00.000Z,100.354,102.26,100.25,102.255,7106.50887,bitstamp
1787625000000,2026-08-25T02:30:00.000Z,102.207,102.235,101.595,101.655,3696.00624,bitstamp
1787625900000,2026-08-25T02:45:00.000Z,101.598,101.716,100.749,100.932,2148.12433,bitstamp
1787626800000,2026-08-25T03:00:00.000Z,100.876,101.573,100.874,101.439,3406.48577,bitstamp
1787627700000,2026-08-25T03:15:00.000Z,101.437,101.76,101.243,101.558,5190.20196,bitstamp
1787628600000,2026-08-25T03:30:00.000Z,101.578,102.018,101.428,101.428,2316.81286,bitstamp
1787629500000,2026-08-25T03:45:00.000Z,101.426,101.795,101.224,101.426,1759.50255,bitstamp
1787630400000,2026-08-25T04:00:00.000Z,101.544,101.703,100.995,101.533,5430.17311,bitstamp
1787631300000,2026-08-25T04:15:00.000Z,101.532,101.701,101.216,101.415,7777.65195,bitstamp
1787632200000,2026-08-25T04:30:00.000Z,101.401,101.52,100.846,100.931,10312.42421,bitstamp
1787633100000,2026-08-25T04:45:00.000Z,100.833,101.326,100.8,101.308,3390.38253,bitstamp
1787634000000,2026-08-25T05:00:00.000Z,101.296,102.014,101.217,101.866,6343.77307,bitstamp
1787634900000,2026-08-25T05:15:00.000Z,101.805,102.971,101.75,102.588,3513.8046,bitstamp
1787635800000,2026-08-25T05:30:00.000Z,102.613,102.613,101.7,101.708,7869.21504,bitstamp
1787636700000,2026-08-25T05:45:00.000Z,101.683,102.437,101.683,101.863,3582.47466,bitstamp
1787637600000,2026-08-25T06:00:00.000Z,101.883,101.997,101.395,101.697,3105.24206,bitstamp
1787638500000,2026-08-25T06:15:00.000Z,101.706,102.061,101.519,101.584,3936.00002,bitstamp
1787639400000,2026-08-25T06:30:00.000Z,101.493,101.493,101.04,101.1,4910.97478,bitstamp
1787640300000,2026-08-25T06:45:00.000Z,101.106,101.118,100.431,100.687,2075.64607,bitstamp
1787641200000,2026-08-25T07:00:00.000Z,100.691,101.626,100.587,101.413,5486.80044,bitstamp
1787642100000,2026-08-25T07:15:00.000Z,101.394,101.887,101.265,101.625,4270.85563,bitstamp
1787643000000,2026-08-25T07:30:00.000Z,101.61,101.653,101.353,101.653,2531.4118,bitstamp
